_id,householdId,shoppingListId,itemName,quantity,storeName,branch,purchasedAt,__v,createdAt,updatedAt
68949877809d3f2877776c85,684d3028dab5df14d3285146,684d3029dab5df14d328514f,Incredible Ceramic Car,2,,,2025-08-01T17:35:31.097Z,0,2025-08-07T12:13:43.938Z,2025-08-07T12:13:43.938Z
68949877809d3f2877776c86,684d3028dab5df14d3285146,684d3029dab5df14d328515b,Practical Rubber Chips,4,,,2025-06-14T08:17:45.960Z,0,2025-08-07T12:13:43.938Z,2025-08-07T12:13:43.938Z
68949877809d3f2877776c87,684d3028dab5df14d3285146,684d3029dab5df14d328515b,Ergonomic Plastic Pants,5,,,2025-06-14T08:17:45.960Z,0,2025-08-07T12:13:43.938Z,2025-08-07T12:13:43.938Z
68949877809d3f2877776c88,684d3028dab5df14d3285146,684d3029dab5df14d328515b,Awesome Granite Pizza,3,,,2025-06-14T08:17:45.960Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c89,684d3028dab5df14d3285146,684d3029dab5df14d328515b,Gorgeous Wooden Soap,4,,,2025-06-14T01:07:05.563Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c8a,684d3028dab5df14d3285146,684d302adab5df14d328516b,Modern Silk Hat,3,,,2025-06-13T17:23:22.913Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c8b,684d3028dab5df14d3285146,684d302adab5df14d328516b,Gorgeous Gold Gloves,4,,,2025-06-14T08:17:46.173Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c8c,684d3028dab5df14d3285146,684d302adab5df14d3285179,Elegant Granite Fish,1,,,2025-06-14T08:17:46.409Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c8d,684d3028dab5df14d3285146,684d302adab5df14d3285179,Practical Rubber Mouse,1,,,2025-06-14T08:17:46.409Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c8e,684d3028dab5df14d3285146,684d302adab5df14d3285179,Recycled Steel Bike,3,,,2025-06-14T08:17:46.409Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c8f,684d3028dab5df14d3285146,684d302adab5df14d3285179,Tasty Bamboo Mouse,5,,,2025-06-14T08:17:46.409Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
68949877809d3f2877776c90,684d3028dab5df14d3285146,684d302adab5df14d3285187,Small Concrete Computer,1,,,2025-06-14T04:02:45.343Z,0,2025-08-07T12:13:43.939Z,2025-08-07T12:13:43.939Z
